Submatrix Pattern,Noise,RF,Loss,Percent.of.Maximum.MI.per.RF,Which.Loss
2,0.3,2,4.337917,0.016901,Loss at 5 Epochs
2,0.3,2,4.401809,0.016901,Loss at 5 Epochs
2,0.3,2,4.775145,0.016901,Loss at 5 Epochs
2,0.3,2,4.456334,0.016901,Loss at 5 Epochs
2,0.3,2,4.709955,0.016901,Loss at 5 Epochs
2,0.3,2,3.408168,0.016901,Loss at 5 Epochs
2,0.3,2,4.272809,0.016901,Loss at 5 Epochs
2,0.3,4,4.542189,0.00352,Loss at 5 Epochs
2,0.3,4,4.743239,0.00352,Loss at 5 Epochs
2,0.3,4,4.763473,0.00352,Loss at 5 Epochs
2,0.3,4,4.473266,0.00352,Loss at 5 Epochs
2,0.3,4,4.573886,0.00352,Loss at 5 Epochs
2,0.3,4,4.702125,0.00352,Loss at 5 Epochs
2,0.3,4,4.870261,0.00352,Loss at 5 Epochs
2,0.3,4,4.735436,0.00352,Loss at 5 Epochs
2,0.3,4,4.615279,0.00352,Loss at 5 Epochs
2,0.3,4,4.830276,0.00352,Loss at 5 Epochs
2,0.3,8,5.184824,0.001542,Loss at 5 Epochs
2,0.3,8,5.077456,0.001542,Loss at 5 Epochs
2,0.3,8,5.152466,0.001542,Loss at 5 Epochs
2,0.3,8,5.034468,0.001542,Loss at 5 Epochs
2,0.3,8,5.182937,0.001542,Loss at 5 Epochs
2,0.3,8,5.204282,0.001542,Loss at 5 Epochs
2,0.3,8,5.094252,0.001542,Loss at 5 Epochs
2,0.3,8,5.132211,0.001542,Loss at 5 Epochs
2,0.3,8,5.153538,0.001542,Loss at 5 Epochs
2,0.3,8,5.14695,0.001542,Loss at 5 Epochs
2,0.4,2,5.294862,0.006404,Loss at 5 Epochs
2,0.4,2,5.550384,0.006404,Loss at 5 Epochs
2,0.4,2,5.29473,0.006404,Loss at 5 Epochs
2,0.4,2,5.349694,0.006404,Loss at 5 Epochs
2,0.4,2,5.413053,0.006404,Loss at 5 Epochs
2,0.4,2,5.41206,0.006404,Loss at 5 Epochs
