Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,2,0,0.929687498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.85546875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.582031251,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.808593759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.863281257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.785156248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.765624985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.781250001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.656250007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,0.417968748,0.984375015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.484374992,0.972656271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.621093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.4140625,0.953124994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.464843745,0.968749993,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.511718747,0.917968741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.480468748,0.988281261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.441406248,0.972656253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.382812499,0.988281261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.378906251,0.937500006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,0,0.558593743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.12109375,0.441406246,0.859375002,0.972656262,0.984375015,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.11328125,0.562499999,0.917968751,0.968750003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.1171875,0.390625,0.843749998,0.957031264,0.992187507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.175781249,0.632812501,0.945312502,0.988281261,1,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.117187498,0.48828125,0.898437502,0.976562519,0.996093754,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.08203125,0.41015625,0.765624998,0.957031255,0.988281261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.13671875,0.472656247,0.882812502,0.972656267,0.980468769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.117187499,0.507812498,0.921875002,0.972656263,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.160156251,0.613281253,0.929687503,0.972656258,0.996093754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,0,0.093749999,0.550781252,0.921874992,0.968750002,0.988281261,0.992187507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.232031249,0.842187503,0.98906251,0.998437501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.377343752,0.920312502,0.999218751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.310156253,0.896093752,0.993750006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.139843749,0.75703126,0.970312511,0.996875003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.524218741,0.985156259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.395312494,0.963281253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.18515625,0.753906251,0.947656254,0.997656252,0.996875003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.153125,0.857812502,0.980468759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.393749998,0.964062502,0.998437501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,10,0.471874997,0.991406258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,10,0.0828125,0.512500001,0.888281247,0.977343759,0.98984376,0.997656252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
