Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,2,0,0.204400965,0.535201573,0.668172714,0.344044806,0.081600184,0.023760321,0.011642438,0.007309565,0.005121007,0.003835016,0.003000961,0.002427445,0.002011837,0.00169909,0.001457978,0.001267929,0.001114471,0.000987398,0.000884341,0.000797907,0.000722861,0.000658029,0.000603089,0.000554776,0.000512832
2,4,0,0.079894559,0.183678428,0.250695959,0.170461977,0.044500879,0.013968684,0.0069933,0.00452967,0.003264703,0.002508623,0.002006053,0.0016715,0.001421946,0.00122946,0.001074386,0.000951664,0.000854351,0.000772146,0.000702801,0.000642705,0.000587569,0.000539887,0.000496941,0.000458902,0.00042591
2,8,0,0.021664431,0.081311363,0.14365595,0.167157451,0.125906974,0.066058597,0.033218243,0.017609722,0.010787027,0.00698923,0.005016448,0.003590589,0.002821925,0.002280178,0.001922384,0.001573054,0.001387855,0.001148009,0.000995833,0.000866666,0.000782226,0.000689507,0.000626388,0.000562181,0.00051372
2,2,10,0.148471795,0.381146852,0.643660217,0.700876147,0.411156939,0.165143223,0.071981618,0.039363746,0.025875298,0.018719931,0.014460237,0.011700077,0.009745534,0.008266012,0.007126867,0.00624991,0.00554762,0.004973101,0.004500766,0.00408141,0.003755144,0.003447799,0.003206858,0.002983285,0.002786989
2,4,10,0.053682625,0.165145727,0.244012341,0.277522626,0.205923492,0.099311162,0.046023033,0.025002533,0.016576147,0.011546275,0.008812704,0.006951777,0.005736351,0.004869363,0.004251831,0.003711905,0.003325432,0.002997133,0.002740429,0.002509917,0.002299296,0.002140172,0.001967108,0.001854385,0.00173914
2,8,10,0.01650067,0.042070443,0.082825786,0.128353202,0.146284364,0.143588074,0.12830824,0.112869602,0.095015017,0.083673206,0.071331185,0.061756589,0.056457432,0.047526386,0.0436249,0.041367173,0.036743334,0.034543318,0.032656477,0.027949412,0.029223194,0.028471155,0.02370075,0.022660445,0.023341981
2,2,20,0.074190192,0.2241963,0.368876053,0.520493042,0.620528403,0.562046866,0.377119624,0.22036555,0.136412587,0.095893738,0.073713701,0.060145717,0.050674139,0.043941531,0.039966368,0.035928641,0.032750041,0.030464597,0.028386046,0.026730829,0.025212471,0.023989304,0.022738648,0.021775938,0.020848675
2,4,20,0.019589479,0.059791506,0.099417752,0.161736789,0.229389625,0.25571749,0.241103301,0.199133553,0.160798372,0.13155918,0.113676052,0.096757868,0.088396546,0.077977417,0.068635931,0.062339444,0.058330769,0.055308756,0.051455778,0.047124808,0.044927601,0.043299094,0.040754869,0.039703722,0.038316773
2,8,20,0.005859122,0.023256471,0.045495539,0.066081774,0.078628142,0.080499325,0.077259315,0.079304159,0.078398292,0.080783477,0.078907934,0.082662798,0.080838881,0.081907789,0.088362389,0.081670251,0.086307563,0.081450042,0.082536176,0.084777364,0.083559645,0.077348491,0.081904921,0.081378583,0.08263944
2,2,30,0.03857743,0.130461676,0.260758253,0.406232668,0.562414432,0.709724141,0.817339362,0.860084621,0.850025501,0.785210011,0.70427572,0.63388875,0.564642147,0.519903987,0.471277275,0.438837377,0.412769455,0.388155059,0.370928095,0.357261137,0.346656199,0.336957322,0.329881961,0.322964802,0.315006328
