Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,2,0,0.144596692,0.004703743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0.072430133,0.025558344,0.001171874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0.026619883,0.078023373,0.051088315,0.008602625,0.006298633,0.00262039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,10,0.128632378,0.084009481,0.016425767,0.001129439,0.000937499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,10,0.04511548,0.113860614,0.035760776,0.015291164,0.004828601,0.001522935,0.00046875,0,0,0,0.000234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,10,0.008871919,0.051322893,0.051886058,0.038513405,0.036914702,0.031401585,0.030527191,0.025511851,0.019466927,0.021699074,0.017581422,0.0161477,0.017539191,0.014170593,0.011359332,0.012576912,0.010223341,0.011283861,0.010370636,0.008299291,0.009643299,0.009046662,0.006853662,0.005252417,0.007867
2,2,20,0.031660295,0.154822856,0.162233579,0.11412092,0.059535403,0.031296841,0.01094977,0.005287737,0.004338573,0.002839494,0.002401627,0.002090481,0.001618148,0.001417058,0.001618148,0.001388779,0.001417058,0.001417058,0.001388779,0.001388779,0.001388779,0.001388779,0.001388779,0.001388779,0.001388779
2,4,20,0.006500826,0.034967898,0.058319987,0.06583435,0.060378242,0.052825212,0.043269122,0.036537453,0.02588297,0.02360565,0.021837163,0.016934216,0.017996582,0.015677453,0.014865118,0.012081875,0.013170497,0.012273584,0.012344985,0.010007625,0.011600708,0.010784646,0.009721775,0.009309667,0.009600477
2,8,20,0.005063681,0.010167062,0.017329668,0.021628635,0.023487577,0.025741091,0.025645953,0.026238951,0.023044093,0.022594203,0.019217638,0.024680578,0.024934486,0.022983095,0.021473578,0.018722148,0.020219286,0.018547245,0.02166698,0.02384298,0.020569439,0.019825286,0.022400091,0.018216535,0.024628714
2,2,30,0.012674803,0.054135665,0.113364302,0.145681319,0.187284056,0.208612785,0.225816673,0.220538115,0.223678915,0.200668682,0.181385474,0.165444719,0.148911173,0.139203848,0.128785576,0.121230291,0.116231756,0.107532159,0.106848073,0.100817852,0.1017483,0.095610574,0.096067197,0.094820836,0.093776562
